"","rf.false","rf.true"
"index_155936",1,0
"index_94780",0.878,0.122
"index_64532",0.1,0.9
"index_79825",1,0
"index_118080",1,0
"index_48578",0.162,0.838
"index_103352",1,0
"index_82523",1,0
"index_41868",0.032,0.968
"index_245858",0.64,0.36
"index_231034",1,0
"index_108447",1,0
"index_232505",1,0
"index_233788",0.928,0.072
"index_204309",0.64,0.36
"index_26414",0.058,0.942
"index_170254",1,0
"index_65170",0.002,0.998
"index_162041",0.64,0.36
"index_16466",0.008,0.992
"index_67278",1,0
"index_214959",0.044,0.956
"index_243866",1,0
"index_211651",1,0
"index_25831",0.346,0.654
"index_189441",1,0
"index_220878",1,0
"index_96390",1,0
"index_189705",1,0
"index_233451",0.506,0.494
"index_188239",1,0
"index_20057",0.022,0.978
"index_214400",1,0
"index_23461",1,0
"index_187828",1,0
"index_31200",1,0
"index_3865",0.426,0.574
"index_211983",1,0
"index_129114",1,0
"index_143835",0.368,0.632
"index_221952",0.162,0.838
"index_227520",0.802,0.198
"index_19263",1,0
"index_159598",0.878,0.122
"index_182286",0.058,0.942
"index_89015",1,0
"index_135949",0.802,0.198
"index_170878",0.338,0.662
"index_55092",0.64,0.36
"index_201267",1,0
"index_21529",1,0
"index_103030",1,0
"index_181035",0.008,0.992
"index_200254",0.99,0.01
"index_20631",0.02,0.98
"index_190453",1,0
"index_150620",1,0
"index_149298",0.028,0.972
"index_152185",1,0
"index_234118",0.01,0.99
"index_28388",0,1
"index_16964",0.85,0.15
"index_89301",1,0
"index_89860",0.988,0.012
"index_165489",1,0
"index_174258",1,0
"index_88914",1,0
"index_71849",1,0
"index_222256",0.162,0.838
"index_38835",0.62,0.38
"index_129617",0.918,0.082
"index_9322",1,0
"index_70638",1,0
"index_83637",1,0
"index_67815",1,0
"index_183815",0.988,0.012
"index_157552",1,0
"index_180507",1,0
"index_172516",1,0
"index_95843",0.998,0.002
"index_218884",1,0
"index_227329",1,0
"index_175972",1,0
"index_112651",1,0
"index_55566",1,0
"index_79117",0.194,0.806
"index_120032",1,0
"index_51400",1,0
"index_90629",1,0
"index_22997",1,0
"index_248152",1,0
"index_121183",1,0
"index_171135",0.97,0.03
"index_18362",0.878,0.122
"index_67726",1,0
"index_36175",1,0
"index_108748",1,0
"index_224050",1,0
"index_182012",1,0
"index_134448",1,0
"index_91673",1,0
"index_234929",1,0
"index_100076",1,0
"index_22637",1,0
"index_97081",0.028,0.972
"index_44249",0.338,0.662
"index_145422",1,0
"index_25361",1,0
"index_248841",1,0
"index_117992",0,1
"index_27301",0.994,0.006
"index_32252",1,0
"index_27974",0.058,0.942
"index_86877",0.338,0.662
"index_179639",0.1,0.9
"index_120819",1,0
"index_186951",0.442,0.558
"index_128871",1,0
"index_107372",1,0
"index_82992",0.338,0.662
"index_85909",1,0
"index_7622",0.194,0.806
"index_69575",0,1
"index_184158",0.222,0.778
"index_112024",0.62,0.38
"index_110218",1,0
"index_161006",1,0
"index_247657",1,0
"index_216548",1,0
"index_22308",0.874,0.126
"index_152743",1,0
"index_59085",1,0
"index_61688",0.356,0.644
"index_164825",0.988,0.012
"index_116051",0.62,0.38
"index_217224",1,0
"index_149198",0,1
"index_159543",0.45,0.55
"index_205057",0.62,0.38
"index_200756",0.194,0.806
"index_108269",1,0
"index_58402",0.002,0.998
"index_42360",1,0
"index_209674",1,0
"index_189927",0.162,0.838
"index_59964",0.802,0.198
"index_246304",0.194,0.806
"index_133404",1,0
"index_123743",0.69,0.31
"index_247896",1,0
"index_139313",1,0
"index_120447",0.02,0.98
"index_193842",1,0
"index_157435",1,0
"index_169400",1,0
"index_48868",0.046,0.954
"index_214536",1,0
"index_2895",0.62,0.38
"index_200696",0.878,0.122
"index_98982",1,0
"index_76922",0.988,0.012
"index_140447",0,1
"index_102195",0.802,0.198
"index_117297",0.878,0.122
"index_43724",0,1
"index_225793",1,0
"index_7481",1,0
"index_221679",1,0
"index_31580",0.332,0.668
"index_230025",0.222,0.778
"index_137447",1,0
"index_19216",1,0
"index_90231",0.988,0.012
"index_95230",1,0
"index_247686",1,0
"index_46133",1,0
