"","rf.false","rf.true"
"index_94684",1,0
"index_41778",1,0
"index_35574",1,0
"index_41997",1,0
"index_33933",1,0
"index_40019",1,0
"index_17827",1,0
"index_27628",1,0
"index_228684",0.802,0.198
"index_107039",1,0
"index_107765",1,0
"index_42892",1,0
"index_249244",0.62,0.38
"index_64676",1,0
"index_68300",1,0
"index_11707",0.55,0.45
"index_118747",0,1
"index_136867",0.846,0.154
"index_192245",1,0
"index_207641",1,0
"index_37259",1,0
"index_157368",0.45,0.55
"index_236019",0.64,0.36
"index_184018",0.64,0.36
"index_192454",1,0
"index_98082",0.45,0.55
"index_22150",1,0
"index_97377",0.028,0.972
"index_211139",1,0
"index_136050",0.744,0.256
"index_9766",1,0
"index_133344",0.45,0.55
"index_194667",0.02,0.98
"index_179544",1,0
"index_157063",1,0
"index_57769",0.878,0.122
"index_114658",1,0
"index_82131",1,0
"index_145274",0.008,0.992
"index_4794",1,0
"index_91593",0.916,0.084
"index_68680",1,0
"index_63168",0.426,0.574
"index_114302",1,0
"index_113601",1,0
"index_190488",1,0
"index_93202",0.69,0.31
"index_234388",0.534,0.466
"index_7867",1,0
"index_149625",0.93,0.07
"index_129138",1,0
"index_88061",1,0
"index_178269",0.988,0.012
"index_126438",1,0
"index_176260",0.338,0.662
"index_196511",1,0
"index_139837",1,0
"index_136022",1,0
"index_189742",1,0
"index_60606",0.988,0.012
"index_135191",0.93,0.07
"index_185214",1,0
"index_246789",0.442,0.558
"index_240816",1,0
"index_211395",0.988,0.012
"index_176241",1,0
"index_59770",1,0
"index_84950",1,0
"index_68330",0.356,0.644
"index_21713",0.954,0.046
"index_2539",0.044,0.956
"index_118448",0.194,0.806
"index_120691",1,0
"index_94320",0.954,0.046
"index_123732",0.02,0.98
"index_10388",0.878,0.122
"index_60041",0.802,0.198
"index_9264",0,1
"index_10088",1,0
"index_104362",0.988,0.012
"index_247150",1,0
"index_191270",1,0
"index_173487",1,0
"index_182937",1,0
"index_182295",0.194,0.806
"index_226683",1,0
"index_41232",0,1
"index_63926",1,0
"index_219350",1,0
"index_216086",0.45,0.55
"index_6238",1,0
"index_20769",0.008,0.992
"index_249267",0.058,0.942
"index_78962",1,0
"index_93898",1,0
"index_46593",0.878,0.122
"index_192776",1,0
"index_179822",0.008,0.992
"index_234313",0.802,0.198
"index_62886",1,0
"index_194935",0,1
"index_36876",1,0
"index_49694",1,0
"index_49064",0.802,0.198
"index_8500",0.916,0.084
"index_205408",1,0
"index_226311",0.058,0.942
"index_30012",0.89,0.11
"index_8317",0.02,0.98
"index_18094",0.338,0.662
"index_247270",0.658,0.342
"index_112218",1,0
"index_67352",1,0
"index_216916",1,0
"index_62630",1,0
"index_157067",1,0
"index_188753",1,0
"index_202034",1,0
"index_79013",0.044,0.956
"index_17535",1,0
"index_18006",1,0
"index_91334",1,0
"index_39612",0.01,0.99
"index_214119",0.008,0.992
"index_42767",1,0
"index_52340",1,0
"index_144468",0.954,0.046
"index_183275",1,0
"index_72221",1,0
"index_123860",0.01,0.99
"index_177583",0.01,0.99
"index_218808",0.998,0.002
"index_76110",1,0
"index_132247",1,0
"index_55684",0.89,0.11
"index_156348",0.988,0.012
"index_9913",0.01,0.99
"index_160411",0.338,0.662
"index_167542",0.058,0.942
"index_24493",0.1,0.9
"index_194086",1,0
"index_89262",1,0
"index_81818",0.1,0.9
"index_50450",0,1
"index_95647",1,0
"index_12348",1,0
"index_123665",0.016,0.984
"index_13127",1,0
"index_113575",1,0
"index_207568",1,0
"index_101338",1,0
"index_102428",1,0
"index_242664",1,0
"index_5462",0.028,0.972
"index_43957",0,1
"index_174070",1,0
"index_143636",0.988,0.012
"index_103326",1,0
"index_119024",0.846,0.154
"index_13945",1,0
"index_206789",1,0
"index_40128",0.928,0.072
"index_97452",1,0
"index_195399",1,0
"index_25463",0.988,0.012
"index_43443",1,0
"index_237084",1,0
"index_180062",1,0
"index_237993",0.162,0.838
"index_178913",0.878,0.122
"index_175658",0.45,0.55
"index_24753",0.058,0.942
"index_34886",1,0
"index_15508",0.044,0.956
"index_58066",1,0
"index_35139",0.62,0.38
"index_148378",0.64,0.36
"index_28947",0.162,0.838
"index_181109",1,0
"index_155257",1,0
"index_166962",1,0
"index_233971",0.874,0.126
"index_164007",1,0
"index_194016",1,0
"index_17303",0.988,0.012
"index_212540",0.834,0.166
"index_117237",0.1,0.9
"index_201491",1,0
"index_203962",0.89,0.11
"index_17292",0.45,0.55
"index_165197",0.62,0.38
"index_184534",0.802,0.198
"index_80149",1,0
"index_148346",1,0
"index_219314",0.162,0.838
"index_56680",1,0
"index_120266",1,0
"index_163065",0.834,0.166
"index_235854",1,0
"index_42736",0.356,0.644
"index_154320",1,0
"index_11709",1,0
"index_111841",1,0
"index_62881",1,0
"index_127843",0,1
"index_173748",1,0
"index_31408",1,0
"index_82822",0.01,0.99
"index_221859",1,0
"index_229081",1,0
"index_172817",0,1
"index_151608",1,0
"index_237589",0,1
"index_188025",1,0
"index_243633",0,1
"index_238914",1,0
"index_217710",0.162,0.838
"index_142173",1,0
"index_102613",0.55,0.45
"index_91418",0.01,0.99
"index_180734",1,0
"index_226889",1,0
"index_163498",1,0
"index_211351",1,0
"index_73610",1,0
"index_143556",1,0
"index_93412",0.874,0.126
"index_18695",1,0
"index_16151",0.55,0.45
"index_113029",1,0
"index_164201",0.022,0.978
"index_201562",1,0
"index_168743",1,0
"index_152478",1,0
"index_27912",1,0
"index_214405",1,0
"index_68524",0.368,0.632
"index_37198",0.194,0.806
"index_17258",0.62,0.38
"index_194883",0.802,0.198
"index_46409",0.802,0.198
"index_120331",1,0
"index_106858",1,0
"index_235152",1,0
"index_187874",1,0
"index_88118",0.368,0.632
"index_55698",1,0
"index_23071",0.954,0.046
"index_9265",0,1
"index_46039",1,0
"index_33072",1,0
"index_17201",0.05,0.95
"index_66583",1,0
"index_31074",1,0
"index_39658",1,0
"index_218034",0.442,0.558
"index_44632",1,0
"index_42802",1,0
"index_182726",0.64,0.36
"index_201373",1,0
"index_240266",1,0
"index_238433",0,1
"index_115442",1,0
"index_156340",0.356,0.644
"index_109835",1,0
"index_63270",0.058,0.942
"index_65809",1,0
"index_178351",0.356,0.644
"index_64431",1,0
"index_120798",1,0
"index_38702",1,0
"index_21769",0.85,0.15
"index_31099",1,0
"index_62599",1,0
"index_213391",1,0
"index_34869",0.85,0.15
"index_45767",0.1,0.9
"index_181994",1,0
"index_39575",0.016,0.984
"index_164553",0.002,0.998
"index_244176",0.044,0.956
"index_241187",1,0
"index_210541",1,0
"index_88294",1,0
"index_148778",1,0
"index_24068",1,0
"index_92633",1,0
"index_30126",0.93,0.07
"index_238130",1,0
"index_28236",1,0
"index_156056",0.162,0.838
"index_185523",0.046,0.954
"index_192080",0.176,0.824
"index_185169",1,0
"index_171764",0.162,0.838
"index_238725",1,0
"index_235319",0.338,0.662
"index_243854",1,0
"index_19610",0.022,0.978
"index_52040",1,0
"index_188890",1,0
"index_152072",1,0
"index_96180",1,0
"index_138793",1,0
"index_209591",1,0
"index_190166",1,0
"index_148043",1,0
"index_117865",0.426,0.574
"index_119717",1,0
"index_28400",0,1
"index_67465",1,0
"index_211892",0.162,0.838
"index_90488",0.62,0.38
"index_53845",1,0
"index_183272",0.338,0.662
"index_106105",1,0
"index_9568",0.62,0.38
"index_203408",1,0
"index_124241",0.1,0.9
"index_72639",1,0
"index_181443",1,0
"index_97927",1,0
"index_125560",1,0
"index_87538",0.916,0.084
"index_221540",1,0
"index_187730",0.802,0.198
"index_192826",0.99,0.01
"index_197363",1,0
"index_197328",1,0
"index_8501",0.338,0.662
"index_50665",0.874,0.126
"index_7382",0.162,0.838
"index_45645",1,0
"index_104515",0.55,0.45
"index_147079",0.1,0.9
"index_102488",0.044,0.956
"index_75265",1,0
"index_123904",1,0
"index_225291",1,0
"index_94575",1,0
"index_125659",0.162,0.838
"index_30121",0.022,0.978
"index_90952",0.62,0.38
"index_26732",0.1,0.9
"index_149104",1,0
"index_234319",1,0
"index_90895",1,0
"index_120457",1,0
"index_1382",1,0
"index_110255",1,0
"index_31479",0.45,0.55
"index_28178",0,1
"index_850",1,0
"index_163336",1,0
"index_41591",0,1
"index_188974",0.874,0.126
"index_107410",1,0
"index_40236",1,0
"index_90760",1,0
"index_38517",1,0
"index_132460",1,0
"index_69736",0.064,0.936
"index_41457",0.62,0.38
"index_85619",1,0
"index_244499",0.69,0.31
"index_12476",1,0
"index_57838",1,0
"index_125799",1,0
"index_10135",1,0
"index_60124",0.988,0.012
"index_147329",1,0
"index_98691",1,0
"index_146522",1,0
"index_16708",0.046,0.954
"index_147215",1,0
"index_241815",1,0
"index_173703",0.002,0.998
"index_121854",0.62,0.38
"index_100096",1,0
"index_113516",1,0
"index_46275",0.64,0.36
"index_203802",1,0
"index_171084",1,0
"index_200738",0.988,0.012
"index_4789",1,0
"index_125544",0.988,0.012
"index_123620",1,0
"index_1661",1,0
"index_217425",0.194,0.806
"index_12561",1,0
"index_121507",0.016,0.984
"index_243577",0.078,0.922
"index_56951",1,0
"index_32913",0.194,0.806
"index_214719",0.732,0.268
"index_139735",1,0
"index_179990",0.338,0.662
"index_58555",1,0
"index_181398",1,0
"index_194494",1,0
"index_45977",1,0
"index_9268",0.002,0.998
"index_246162",1,0
"index_184470",0.01,0.99
"index_122420",0.346,0.654
"index_173144",1,0
"index_42731",0.64,0.36
"index_245218",1,0
"index_35148",0.874,0.126
"index_164804",0.69,0.31
"index_88346",1,0
"index_17397",1,0
"index_169427",1,0
"index_82628",1,0
"index_136713",0.008,0.992
"index_30518",1,0
"index_202007",1,0
"index_184959",1,0
"index_216729",0.62,0.38
"index_30815",1,0
"index_13407",0.162,0.838
"index_43635",0.62,0.38
"index_226348",0.802,0.198
"index_93522",1,0
"index_135021",0.368,0.632
"index_200635",1,0
"index_219749",1,0
"index_26119",0.356,0.644
"index_230745",1,0
"index_169595",0.732,0.268
"index_225235",1,0
"index_12136",1,0
"index_152855",1,0
"index_170306",1,0
"index_213441",1,0
"index_41664",0.046,0.954
"index_176947",1,0
"index_19000",1,0
"index_224934",0,1
"index_27177",1,0
"index_1265",1,0
"index_164140",0.194,0.806
"index_21591",1,0
"index_87492",0.022,0.978
"index_41803",1,0
"index_155365",0.988,0.012
"index_196314",0.846,0.154
"index_141914",0.176,0.824
"index_76553",1,0
"index_82700",1,0
"index_169403",1,0
"index_169647",1,0
"index_214891",0,1
"index_147334",1,0
"index_158955",1,0
"index_74806",1,0
"index_249506",0,1
"index_106697",0.62,0.38
"index_205309",0.954,0.046
"index_239149",1,0
"index_62768",1,0
"index_42895",1,0
"index_116836",0.338,0.662
"index_219513",0.008,0.992
"index_135305",0.044,0.956
"index_58960",0.218,0.782
"index_191486",0.426,0.574
"index_3608",0.998,0.002
"index_88604",0.162,0.838
"index_200120",0.194,0.806
"index_190881",1,0
"index_88318",1,0
"index_245585",0.162,0.838
"index_6018",1,0
"index_28537",0.988,0.012
"index_110250",1,0
"index_123384",1,0
"index_159064",1,0
"index_173275",0.988,0.012
"index_159141",1,0
"index_79696",1,0
"index_146492",1,0
"index_113864",1,0
"index_203130",0.218,0.782
"index_23524",1,0
"index_146980",1,0
"index_12452",0.998,0.002
"index_103857",0.194,0.806
"index_188007",1,0
"index_182810",1,0
"index_72311",0.162,0.838
"index_43314",1,0
"index_15756",1,0
"index_79901",1,0
"index_150831",1,0
"index_19350",1,0
"index_165385",1,0
"index_106054",1,0
"index_169543",0.994,0.006
"index_206526",0.1,0.9
"index_162340",0.368,0.632
"index_215283",1,0
"index_239745",0.64,0.36
"index_169369",0.874,0.126
"index_40307",1,0
"index_85473",0.058,0.942
"index_115426",1,0
"index_146795",1,0
"index_144558",1,0
"index_222302",1,0
"index_92189",1,0
"index_24594",0.878,0.122
"index_143809",1,0
"index_167777",0.99,0.01
"index_53982",1,0
"index_52594",0.078,0.922
"index_241711",1,0
"index_69511",0.008,0.992
"index_15026",0,1
"index_162250",0,1
"index_126577",1,0
"index_137347",1,0
"index_1778",0.222,0.778
"index_224365",1,0
"index_192851",1,0
"index_148017",0.162,0.838
"index_1843",0.356,0.644
"index_99054",1,0
"index_208533",1,0
"index_68304",1,0
"index_209376",1,0
"index_96616",1,0
"index_212119",0.64,0.36
"index_169462",1,0
"index_31525",1,0
"index_55216",1,0
"index_187771",1,0
"index_44890",0.078,0.922
"index_164870",1,0
"index_24713",0.162,0.838
"index_115739",1,0
"index_170485",1,0
"index_3347",0.62,0.38
"index_147811",0.45,0.55
"index_182173",1,0
"index_74377",0.874,0.126
"index_240687",1,0
"index_157346",1,0
"index_34640",1,0
"index_25707",1,0
"index_217036",0.022,0.978
"index_234181",0.874,0.126
"index_45474",0.028,0.972
"index_216185",0.954,0.046
"index_221894",1,0
"index_113499",1,0
"index_110198",0.346,0.654
"index_102379",0.62,0.38
"index_20585",0.878,0.122
"index_233980",0.878,0.122
"index_236895",1,0
"index_107749",1,0
"index_233946",1,0
"index_73296",1,0
"index_240229",1,0
"index_84229",1,0
"index_46616",0.162,0.838
"index_18902",1,0
"index_78957",1,0
"index_11585",1,0
"index_150541",1,0
"index_114792",1,0
"index_94193",1,0
"index_114529",1,0
"index_194936",0.988,0.012
"index_195016",0.044,0.956
"index_16373",1,0
"index_208529",1,0
"index_86962",0.988,0.012
"index_23335",1,0
"index_248028",1,0
"index_81484",0.194,0.806
"index_113264",0.022,0.978
"index_12132",1,0
"index_157818",1,0
"index_57879",1,0
"index_94735",1,0
"index_142823",1,0
"index_59546",0,1
"index_210018",1,0
"index_230027",0.044,0.956
"index_248692",0.01,0.99
"index_114715",0.45,0.55
"index_590",1,0
"index_137370",1,0
"index_29962",1,0
"index_56405",1,0
"index_2291",0.442,0.558
"index_165224",0.62,0.38
"index_209199",1,0
"index_26245",1,0
"index_209647",1,0
"index_148913",0.55,0.45
"index_36033",1,0
"index_23984",0,1
"index_242887",1,0
"index_160245",0.62,0.38
"index_195125",0.338,0.662
"index_208288",0.1,0.9
"index_71120",0.194,0.806
"index_139171",0.62,0.38
"index_200951",1,0
"index_17134",0.078,0.922
"index_100987",0.222,0.778
"index_62342",0.356,0.644
"index_235848",1,0
"index_8805",0,1
"index_183887",0.62,0.38
"index_195034",0.55,0.45
"index_228066",0.988,0.012
"index_101258",0.978,0.022
"index_126445",1,0
"index_1141",1,0
"index_214402",1,0
"index_246475",1,0
"index_65720",1,0
"index_178844",0.954,0.046
"index_122392",0.69,0.31
"index_10073",0.162,0.838
"index_245574",0.64,0.36
"index_208331",0.1,0.9
"index_167861",0.846,0.154
"index_102078",1,0
"index_186601",0.45,0.55
"index_129587",1,0
"index_237267",0.99,0.01
"index_180724",1,0
"index_190653",0.55,0.45
"index_114214",0.028,0.972
"index_209669",1,0
"index_226892",1,0
"index_65314",0.64,0.36
"index_245108",0.162,0.838
"index_76203",1,0
"index_202407",1,0
"index_5270",0.162,0.838
"index_82348",0.356,0.644
"index_136722",0,1
"index_189820",1,0
"index_177826",1,0
"index_60532",1,0
"index_240040",1,0
"index_166249",1,0
"index_6752",1,0
"index_44055",0.078,0.922
"index_17169",0.338,0.662
"index_118990",0.058,0.942
"index_180646",1,0
"index_215167",1,0
"index_138423",1,0
"index_47768",1,0
"index_88338",1,0
"index_232512",1,0
"index_233166",1,0
"index_50364",1,0
"index_231749",0.058,0.942
"index_158143",1,0
"index_87501",0.044,0.956
"index_134714",0.846,0.154
"index_131033",1,0
"index_1016",1,0
"index_57293",1,0
"index_184155",0.022,0.978
"index_107262",1,0
"index_33209",0.426,0.574
"index_5229",1,0
"index_86466",0.978,0.022
"index_12497",1,0
"index_247694",1,0
"index_237249",1,0
"index_188868",1,0
"index_140908",0.016,0.984
"index_1867",0.058,0.942
"index_120272",0.55,0.45
"index_140104",1,0
"index_137610",1,0
"index_199725",0.162,0.838
"index_104432",0.02,0.98
"index_247948",1,0
"index_11307",1,0
"index_159455",0.62,0.38
"index_151167",0.988,0.012
"index_65353",1,0
"index_141779",0.878,0.122
"index_81468",0.878,0.122
"index_126155",1,0
"index_162614",1,0
"index_209288",0.02,0.98
"index_243497",0.952,0.048
"index_99083",1,0
"index_204985",0.45,0.55
"index_177308",0.474,0.526
"index_178122",1,0
"index_78692",1,0
"index_55624",1,0
"index_64760",1,0
"index_191702",0.194,0.806
"index_133814",1,0
"index_48064",0.162,0.838
"index_72512",1,0
"index_50381",0.878,0.122
"index_16580",1,0
"index_216852",1,0
"index_102665",1,0
"index_32124",0.078,0.922
"index_131333",1,0
"index_64210",1,0
"index_241513",1,0
"index_65433",1,0
"index_83684",0.954,0.046
"index_217839",0.802,0.198
"index_215974",1,0
"index_225933",0.356,0.644
"index_148000",1,0
"index_117945",0.988,0.012
"index_239856",1,0
"index_240471",0.62,0.38
"index_140801",1,0
"index_152043",0.988,0.012
"index_22513",0.008,0.992
"index_12369",1,0
"index_141448",1,0
"index_180959",1,0
"index_190844",1,0
"index_92705",1,0
"index_46973",0.89,0.11
"index_71927",0.64,0.36
"index_183553",0.45,0.55
"index_39704",1,0
"index_46975",0.918,0.082
"index_107478",1,0
"index_240617",0.62,0.38
"index_209601",1,0
"index_41906",1,0
"index_241743",1,0
"index_97699",0.162,0.838
"index_104984",1,0
"index_29054",0.028,0.972
"index_167697",0.078,0.922
"index_208416",1,0
"index_27647",0.874,0.126
"index_18454",0.356,0.644
"index_214162",1,0
"index_62328",0.846,0.154
"index_64555",1,0
"index_74382",0.85,0.15
"index_77198",0.078,0.922
"index_220155",1,0
"index_199113",1,0
"index_131327",1,0
"index_14883",1,0
"index_198665",0.874,0.126
"index_9446",0,1
"index_133571",0,1
"index_195118",0.044,0.956
"index_215683",1,0
"index_44790",1,0
"index_17569",1,0
"index_113869",1,0
"index_136697",0.022,0.978
"index_26287",1,0
"index_18938",1,0
"index_181448",1,0
"index_72790",1,0
"index_224852",0.55,0.45
"index_248996",1,0
"index_31814",1,0
"index_148888",1,0
"index_38111",1,0
"index_261",0.078,0.922
"index_41407",1,0
"index_172611",0.222,0.778
"index_14430",0.99,0.01
"index_21768",1,0
"index_110793",0.89,0.11
"index_140637",0.356,0.644
"index_174368",0.45,0.55
"index_244115",1,0
"index_145346",0.064,0.936
"index_9707",1,0
"index_85154",0.64,0.36
"index_196600",1,0
"index_211666",1,0
"index_163059",1,0
"index_57735",1,0
"index_30114",0.846,0.154
"index_24364",0.194,0.806
"index_206426",1,0
"index_160623",0.93,0.07
"index_178696",1,0
"index_51204",1,0
"index_56982",0.998,0.002
"index_210230",0.356,0.644
"index_183016",1,0
"index_207338",0.878,0.122
"index_233916",0.62,0.38
"index_44525",0.85,0.15
"index_158537",0.05,0.95
"index_146396",1,0
"index_222395",0.988,0.012
"index_111450",0.988,0.012
"index_153053",0.01,0.99
"index_201446",1,0
"index_71906",0.878,0.122
"index_192666",0.162,0.838
"index_42354",0.996,0.004
"index_247413",1,0
"index_196346",1,0
"index_35450",1,0
"index_53227",0.222,0.778
"index_91409",0,1
"index_27104",1,0
"index_180501",0.846,0.154
"index_163860",0.846,0.154
"index_61595",0.69,0.31
"index_234274",1,0
"index_110591",0.952,0.048
"index_105055",1,0
"index_30792",0.45,0.55
"index_105069",1,0
"index_154825",0.62,0.38
"index_204182",0.004,0.996
"index_65797",1,0
"index_107946",1,0
"index_84837",1,0
"index_188625",0.356,0.644
"index_26128",0.426,0.574
"index_101738",1,0
"index_218435",1,0
"index_24960",1,0
"index_169918",0.064,0.936
"index_99908",1,0
"index_202910",1,0
"index_56352",1,0
"index_40543",1,0
"index_135697",0.194,0.806
"index_166705",0,1
"index_126810",1,0
"index_67291",1,0
"index_95166",1,0
"index_168876",1,0
"index_207381",0.162,0.838
"index_64197",0.874,0.126
"index_80786",0.1,0.9
"index_66792",1,0
"index_222684",1,0
"index_161704",1,0
"index_77694",1,0
"index_151386",1,0
"index_236855",1,0
"index_136988",1,0
"index_217991",1,0
"index_71840",1,0
"index_27992",1,0
"index_140812",0.69,0.31
"index_248206",1,0
"index_193487",0.222,0.778
"index_226523",1,0
"index_10045",1,0
"index_95387",0.62,0.38
"index_38978",0.346,0.654
"index_248776",1,0
"index_155182",0.62,0.38
"index_144128",0,1
"index_62704",0.64,0.36
"index_34029",0.058,0.942
"index_740",1,0
"index_239926",1,0
"index_148906",0.222,0.778
"index_42684",0.846,0.154
"index_90830",1,0
"index_191750",1,0
"index_226882",1,0
"index_17796",0.978,0.022
"index_171939",0,1
"index_244485",0.45,0.55
"index_245748",1,0
"index_21187",1,0
"index_130478",1,0
"index_83336",1,0
"index_133674",1,0
"index_38685",1,0
"index_231007",1,0
"index_89051",1,0
"index_239964",1,0
"index_234937",0.162,0.838
"index_233994",0.356,0.644
"index_190678",0.338,0.662
"index_235145",1,0
"index_247003",1,0
"index_145940",1,0
"index_170614",1,0
"index_163456",1,0
"index_126713",0.356,0.644
"index_5863",0.996,0.004
"index_118464",1,0
"index_68658",1,0
"index_204027",1,0
"index_17012",1,0
"index_52797",0.988,0.012
"index_233281",1,0
"index_185022",1,0
"index_119558",1,0
"index_12199",0.02,0.98
"index_124355",1,0
"index_143769",0.802,0.198
"index_249091",1,0
"index_104161",0.85,0.15
"index_112329",1,0
"index_173549",0.194,0.806
"index_152470",1,0
"index_193051",0,1
"index_55028",1,0
"index_220925",1,0
"index_85578",0.162,0.838
"index_64683",1,0
"index_89738",0.222,0.778
"index_235070",1,0
"index_49343",1,0
"index_150839",1,0
"index_148953",1,0
"index_196981",0.356,0.644
"index_208708",0.62,0.38
"index_42397",1,0
"index_232176",1,0
"index_160815",1,0
"index_191101",0.988,0.012
"index_167515",0.028,0.972
"index_87413",1,0
"index_246686",1,0
"index_230354",1,0
"index_154245",0.802,0.198
"index_188141",0.658,0.342
"index_141900",0,1
"index_204447",1,0
"index_129217",1,0
"index_139669",0.022,0.978
"index_202609",1,0
"index_157160",0,1
"index_103507",1,0
"index_30404",0.99,0.01
"index_233323",1,0
"index_109190",1,0
"index_14800",1,0
"index_46249",0.194,0.806
"index_189226",0.1,0.9
"index_235127",1,0
"index_19450",1,0
"index_37514",0.69,0.31
"index_48938",1,0
"index_117187",0.658,0.342
"index_176584",1,0
"index_146953",1,0
"index_202142",0.194,0.806
"index_169038",1,0
"index_35062",1,0
"index_8280",0.368,0.632
"index_189760",1,0
"index_18915",1,0
"index_64220",1,0
"index_43052",0.802,0.198
"index_29664",0.62,0.38
"index_159278",1,0
"index_113486",1,0
"index_114289",1,0
"index_177336",0,1
"index_24009",0,1
"index_48777",0.078,0.922
"index_54587",1,0
"index_21973",0.078,0.922
"index_110119",0.442,0.558
"index_99271",1,0
"index_96376",1,0
"index_92666",1,0
"index_18139",1,0
"index_142739",0.998,0.002
"index_218719",0.62,0.38
"index_195749",0.678,0.322
"index_97492",1,0
"index_167534",1,0
"index_122300",0.69,0.31
"index_219317",0.69,0.31
"index_48845",1,0
"index_205996",1,0
"index_196080",0,1
"index_63923",1,0
"index_218668",0.356,0.644
"index_168499",1,0
"index_42631",1,0
"index_84808",0.62,0.38
"index_48323",0.426,0.574
"index_124633",1,0
"index_122590",0.878,0.122
"index_239496",0.64,0.36
"index_181813",1,0
"index_221266",1,0
"index_80987",0.802,0.198
"index_209050",1,0
"index_30197",0.426,0.574
"index_126849",1,0
"index_202354",1,0
"index_171684",1,0
"index_47951",0.044,0.956
"index_217900",1,0
"index_107273",1,0
"index_98895",1,0
"index_32983",0.62,0.38
"index_206862",1,0
"index_37688",0.846,0.154
"index_28314",0.032,0.968
"index_126062",1,0
"index_40053",0.732,0.268
"index_71398",1,0
"index_90757",0.85,0.15
"index_24398",0.996,0.004
"index_114271",1,0
"index_139633",0.834,0.166
"index_143091",0.356,0.644
"index_88260",0.078,0.922
"index_18302",1,0
"index_63658",0.058,0.942
"index_4978",1,0
"index_90253",1,0
"index_141790",1,0
"index_187705",0.162,0.838
"index_42943",0.878,0.122
"index_168212",0.878,0.122
"index_222400",0.988,0.012
"index_199607",1,0
"index_12133",1,0
"index_173635",1,0
"index_161539",1,0
"index_241207",1,0
"index_228850",1,0
"index_85889",0.988,0.012
"index_230451",0.194,0.806
"index_57274",1,0
"index_47608",1,0
"index_37471",0.62,0.38
"index_248678",1,0
"index_86988",1,0
"index_65934",0.194,0.806
"index_48986",0.194,0.806
"index_29798",1,0
"index_224078",1,0
"index_12382",0.802,0.198
"index_23048",0.162,0.838
"index_11295",1,0
"index_237556",0,1
"index_23360",0.802,0.198
"index_5405",1,0
"index_37734",1,0
"index_55302",0,1
"index_143606",0.058,0.942
"index_182246",0.978,0.022
"index_77624",1,0
"index_212254",0.004,0.996
"index_160692",1,0
"index_214256",1,0
"index_35552",0.162,0.838
"index_85582",1,0
"index_142024",0.162,0.838
"index_208929",0.022,0.978
"index_46298",0.62,0.38
"index_199130",1,0
"index_78216",1,0
"index_7446",1,0
"index_28788",1,0
"index_177552",0.028,0.972
"index_207433",0.55,0.45
"index_107011",1,0
"index_112629",0.1,0.9
"index_175732",1,0
"index_118061",1,0
"index_95516",1,0
"index_10407",0.64,0.36
"index_64653",0.078,0.922
"index_111989",0.162,0.838
"index_199699",1,0
"index_82099",1,0
"index_215589",0.02,0.98
"index_81278",1,0
"index_216283",1,0
"index_188169",1,0
"index_197912",1,0
"index_167802",0.194,0.806
"index_193979",0.55,0.45
"index_113440",1,0
"index_154803",0.426,0.574
"index_126897",1,0
"index_209170",1,0
"index_55082",0.988,0.012
"index_115508",1,0
"index_158071",0.222,0.778
"index_95242",1,0
"index_26951",1,0
"index_203155",0,1
"index_66816",1,0
"index_94323",0.954,0.046
"index_24932",1,0
"index_153690",0.222,0.778
"index_182857",0.996,0.004
"index_85382",1,0
"index_104236",0.64,0.36
"index_196938",1,0
"index_88322",1,0
"index_249351",0.01,0.99
"index_27570",1,0
"index_61187",0.338,0.662
"index_196348",1,0
"index_198916",0.988,0.012
"index_101809",1,0
"index_108037",1,0
"index_140715",0.732,0.268
"index_186014",0,1
"index_58902",0.988,0.012
"index_3318",0.62,0.38
"index_205127",0.874,0.126
"index_210189",1,0
"index_17951",1,0
"index_42170",1,0
"index_51902",1,0
"index_161476",0.162,0.838
"index_242862",1,0
"index_164107",1,0
"index_146240",1,0
"index_179901",1,0
"index_108902",0,1
"index_4977",1,0
"index_123990",1,0
"index_73432",1,0
"index_67364",1,0
"index_200662",1,0
"index_150392",1,0
"index_138083",1,0
"index_62952",0.194,0.806
"index_14853",1,0
"index_23043",0.45,0.55
"index_228995",1,0
"index_42001",1,0
"index_191872",1,0
"index_76245",0.928,0.072
"index_182013",1,0
"index_73312",1,0
"index_190058",0.988,0.012
"index_105809",0.55,0.45
"index_233583",0.878,0.122
"index_182389",1,0
"index_188507",1,0
"index_202849",1,0
"index_209838",0.222,0.778
"index_130041",1,0
"index_61234",1,0
"index_223781",1,0
"index_102878",0.69,0.31
"index_153892",0.05,0.95
"index_56329",1,0
"index_28502",1,0
"index_108871",1,0
"index_207920",1,0
"index_205067",0.85,0.15
"index_100326",1,0
"index_18871",1,0
"index_20419",0,1
"index_111810",0.85,0.15
"index_90086",1,0
"index_45259",1,0
"index_141528",0.162,0.838
"index_233391",0.016,0.984
"index_46740",1,0
"index_58805",0.162,0.838
"index_230197",1,0
"index_42461",1,0
"index_199826",1,0
"index_148876",1,0
"index_184334",1,0
"index_217842",0.194,0.806
"index_226582",0.802,0.198
"index_238545",0.64,0.36
"index_21083",0.988,0.012
"index_74787",1,0
"index_160425",1,0
"index_22436",1,0
"index_168554",1,0
"index_65404",1,0
"index_21706",0.338,0.662
"index_227298",1,0
"index_243407",0,1
"index_14532",0.64,0.36
"index_71821",1,0
"index_94897",0,1
"index_186110",1,0
"index_118517",1,0
"index_237100",1,0
"index_53430",0.89,0.11
"index_113454",1,0
"index_203760",0.346,0.654
"index_37635",1,0
